Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
204,1740310118941,3228,3228,3228,3228,3228,3228,3228,3228,50.88660430908203,51.370018005371094,54.37581634521485,52.03984451293945,53.395355224609375,50.487693786621094,50.20112609863281,52.7441520690918,50.3064079284668,51.94793701171875,100.0,100.0,52.38095474243164,23.809524536132812,9.523809432983398,10.0,0.0,0.0,11.25044059753418,17179869184,15032385536,13818642432,13510508544
201,1740310119146,3228,3228,3228,3228,3228,3228,3228,3228,50.88660430908203,51.370018005371094,54.37581634521485,52.03984451293945,53.395355224609375,50.487693786621094,50.20112609863281,52.7441520690918,50.3064079284668,51.94793701171875,95.23809814453124,90.90909576416016,25.0,9.523809432983398,15.000000953674316,9.523809432983398,0.0,0.0,11.25044059753418,17179869184,15032385536,13774995456,13502119936
204,1740310119348,3228,3228,3228,3228,3228,3228,3228,3228,50.88660430908203,51.370018005371094,54.37581634521485,52.03984451293945,53.395355224609375,50.487693786621094,50.20112609863281,52.7441520690918,50.3064079284668,51.94793701171875,90.0,90.0,65.0,31.57894515991211,28.571430206298828,10.526315689086914,9.523809432983398,5.0,11.25044059753418,17179869184,15032385536,13765705728,13485342720
204,1740310119553,3228,3228,3228,3228,3228,3228,3228,3228,50.75673294067383,50.90863800048828,54.14903259277344,51.937835693359375,53.053001403808594,50.241546630859375,50.20643615722656,52.480430603027344,50.067420959472656,52.065032958984375,85.71428680419922,85.0,45.0,47.619049072265625,35.0,33.333335876464844,20.0,14.285715103149414,11.25044059753418,17179869184,15032385536,13724811264,13476954112
203,1740310119757,3228,3228,3228,3228,3228,3228,3228,3228,50.75673294067383,50.90863800048828,54.14903259277344,51.937835693359375,53.053001403808594,50.241546630859375,50.20643615722656,52.480430603027344,50.067420959472656,52.065032958984375,90.0,90.0,60.000003814697266,55.0,38.095237731933594,45.0,25.0,15.000000953674316,11.25044059753418,17179869184,15032385536,13733855232,13468565504
202,1740310119962,3228,3228,3228,3228,3228,3228,3228,3228,50.75673294067383,50.90863800048828,54.14903259277344,51.937835693359375,53.053001403808594,50.241546630859375,50.20643615722656,52.480430603027344,50.067420959472656,52.065032958984375,90.0,85.71428680419922,47.619049072265625,33.333335876464844,35.0,22.72727394104004,0.0,4.761904716491699,10.877553939819336,17179869184,15032385536,13749682176,13460176896
204,1740310120165,3228,3228,3228,3228,3228,3228,3228,3228,50.75673294067383,50.90863800048828,54.14903259277344,51.937835693359375,53.053001403808594,50.241546630859375,50.20643615722656,52.480430603027344,50.067420959472656,52.065032958984375,95.23809814453124,100.0,38.095237731933594,45.0,20.0,10.526315689086914,5.0,0.0,10.877553939819336,17179869184,15032385536,13751533568,13451788288
201,1740310120369,3228,3228,3228,3228,3228,3228,3228,3228,50.75673294067383,50.90863800048828,54.14903259277344,51.937835693359375,53.053001403808594,50.241546630859375,50.20643615722656,52.480430603027344,50.067420959472656,52.065032958984375,100.0,90.47618865966795,25.0,15.000000953674316,10.0,10.0,4.761904716491699,0.0,10.877553939819336,17179869184,15032385536,13756448768,13443399680
200,1740310120571,3228,3228,3228,3228,3228,3228,3228,3228,51.30263900756836,51.304805755615234,54.45849609375,52.94139099121094,53.799713134765625,50.75951385498047,51.3115119934082,53.24937438964844,50.3438606262207,52.332733154296875,70.0,63.15789031982422,25.0,10.0,14.285715103149414,9.523809432983398,0.0,0.0,10.877553939819336,17179869184,15032385536,13734920192,13443399680
202,1740310120773,3228,3228,3228,3228,3228,3228,3228,3228,51.30263900756836,51.304805755615234,54.45849609375,52.94139099121094,53.799713134765625,50.75951385498047,51.3115119934082,53.24937438964844,50.3438606262207,52.332733154296875,76.19047546386719,71.42857360839844,35.0,28.571430206298828,0.0,10.0,0.0,0.0,10.877553939819336,17179869184,15032385536,13704577024,13443399680
